"Extension","Count"
".js","2987"
".py","1934"
".ts","1068"
".map","476"
"","421"
".pyc","386"
".json","289"
".md","276"
".txt","62"
".cts","42"
".typed","40"
".mts","31"
".cjs","31"
".yml","31"
".exe","29"
".h","27"
".jst","25"
".mjs","22"
".cmd","19"
".ps1","19"
".eslintrc","16"
".pyd","15"
".cpp","15"
".hpp","13"
".nycrc","10"
".pyx","7"
".pyi","6"
".def","5"
".BSD","5"
".bak_20251106_155616","4"
".bak_20251106_155458","4"
".bak_20251106_154052","4"
".pxd","4"
".bak_20251106_155847","4"
".bak_20251106_155243","4"
".bak_20251106_160236","4"
".bak_20251106_160818","4"
".bak_dedup_20251106_161554","4"
".bak_20251106_160437","4"
".bak_clean_20251106_163623","4"
".bak_dedup2_20251106_161648","4"
".bak_finalfix","4"
".bak_fix_20251106_160911","4"
".bak_debug_20251106_165416","4"
".bak_list_20251106_163207","4"
".bak_canonical_20251106_181641","4"
".bak_listfix_20251106_175802","4"
".bak_no_create_20251106_174716","4"
".bak_norm_20251106_161415","4"
".bak_addlist_20251106_162304","4"
".bak_addget_20251106_175255","4"
".bak_routefix_20251106_161145","4"
".bak_20251106_160540","4"
".bak_20251106_160324","4"
".npmignore","3"
".flow","3"
".html","3"
".markdown","3"
".APACHE","3"
".css","3"
".c","3"
".svg","3"
".asm","2"
".node","2"
".obj","2"
".bnf","2"
".lock","2"
".tmpl","2"
".babelrc","2"
".tsx","2"
".gitignore","2"
".csv","2"
".bat","2"
".TAG","1"
".rst","1"
".1","1"
".APACHE2","1"
".backup_20251106_222839","1"
".PSF","1"
".bak_20251106_215840","1"
".php","1"
".pem","1"
".bak_20251106_223752","1"
".backup_20251106_222823","1"
".MIT","1"
".bak","1"
".jshintrc","1"
".jinja2","1"
".ignore","1"
".xml","1"
".cfg","1"
".pth","1"
".db","1"
